LOCAL HEALTH UNIT,OPERATION NAME,ADDRESS,CITY,STATE,ZIP,MUNICIPALITY,COUNTY,VENDOR TYPE,CREATION DATE,LOCATION
CLINTON,GRAND UNION,2 GORMAN WAY,PERU,NY,12972,PERU,CLINTON,GROCERY SUPERMARKET,07/10/2023,"2 GORMAN WAY
PERU, NY 12972
(44.577028232, -73.525724408)"
DUTCHESS,CHESTNUT MARTS,3997 ROUTE 22,WASSAIC,NY,12592,AMENIA,DUTCHESS,CONVENIENCE/GAS,07/10/2023,"3997 ROUTE 22
WASSAIC, NY 12592
(41.790814801, -73.553360632)"
NYC,2918 GAS CORP,2918 BOSTON ROAD,BRONX,NY,10469,BRONX,NEW YORK CITY,OTHER,07/10/2023,"2918 BOSTON ROAD
BRONX, NY 10469
(40.868058834, -73.858776062)"
NYC,MAHANT 385 INC,385 CANAL STREET,NEW YORK,NY,10013,MANHATTAN,NEW YORK CITY,TOBACCO RETAIL,07/10/2023,"385 CANAL STREET
NEW YORK, NY 10013
(40.721667889, -74.004767693)"
NYC,SHISHA KING CORP,656 SUTTER AVENUE,BROOKLYN,NY,11207,BROOKLYN,NEW YORK CITY,GROCERY SUPERMARKET,07/10/2023,"656 SUTTER AVENUE
BROOKLYN, NY 11207
(40.669383086, -73.894472157)"
NYC,TUNI'S SERVICE CORP,306 18TH STREET,BROOKLYN,NY,11215,BROOKLYN,NEW YORK CITY,CONVENIENCE STORE,07/10/2023,"306 18TH STREET
BROOKLYN, NY 11215
(40.661722613, -73.989687559)"
NYC,"VISHWA NEWS, INC.",17 BOND STREET,BROOKLYN,NY,11201,BROOKLYN,NEW YORK CITY,STAND,07/10/2023,"17 BOND STREET
BROOKLYN, NY 11201
(40.689173136, -73.983153782)"
PUTNAM,76 GAS,2 TOWNERS ROAD,CARMEL,NY,10512,KENT,PUTNAM,GAS STATION,07/10/2023,"2 TOWNERS ROAD
CARMEL, NY 10512
(41.449989058, -73.671833805)"
SUFFOLK,MOBIL,451 W MAIN ST,PATCHOGUE,NY,117,BROOKHAVEN,SUFFOLK,GAS STATION,07/10/2023,"451 W MAIN ST
PATCHOGUE, NY 117
(40.760975695, -73.029896708)"
SUFFOLK,THE WHALE BONE,3495 NOYAC RD,,NY,,SOUTHAMPTON,SUFFOLK,OTHER,07/10/2023,"3495 NOYAC RD, NY
(40.995954451, -72.339820222)"
ULSTER,Z'ZZZ SMOKE SHOP,587 BROADWAY,KINGSTON,NY,12401,KINGSTON,ULSTER,CONVENIENCE STORE,07/10/2023,"587 BROADWAY
KINGSTON, NY 12401
(41.92920407200006, -74.00372315099997)"
SUFFOLK,AGUA EXPRESS LAUNDRO MINI MARKET,207 LOWNDES AVENUE,HUNTINGTON STATION,NY,11746,HUNTINGTON,SUFFOLK,OTHER,07/10/2023,"207 LOWNDES AVENUE
HUNTINGTON STATION, NY 11746
(40.853191894, -73.413799849)"
ERIE,MOBIL MART (LHP FOOD MART),3932 SOUTH PARK  AVENUE,BLASDELL,NY,14219,HAMBURG,ERIE,CONVENIENCE/GAS,07/10/2023,"3932 SOUTH PARK  AVENUE
BLASDELL, NY 14219
(42.790346864, -78.823283687)"
NYC,JAMAST HOLDING CORP,161-17 29TH AVENUE,FLUSHING,NY,11358,QUEENS,NEW YORK CITY,CONVENIENCE STORE,07/10/2023,"161-17 29TH AVENUE
FLUSHING, NY 11358
(40.771400067, -73.802775896)"
BROOME,QUICKWAY #30,1724 US 11 ROUTE,KIRKWOOD,NY,13795,KIRKWOOD,BROOME,CONVENIENCE/GAS,07/10/2023,"1724 US 11 ROUTE
KIRKWOOD, NY 13795
(42.039035722, -75.794293323)"
SCHOHARIE,CLOUDS NINE SMOKE SHOP,795 EAST MAIN  STREET,COBLESKIL,NY,12043,COBLESKILL,SCHOHARIE,TOBACCO RETAIL,07/10/2023,"795 EAST MAIN  STREET
COBLESKIL, NY 12043
(42.680633242, -74.473966851)"
WESTCHESTER,QUICK STOP OF SHRUB OAK INC.,930 EAST MAIN STREET,SHRUB OAK,NY,10588,YORKTOWN,WESTCHESTER,CONVENIENCE/GAS,07/10/2023,"930 EAST MAIN STREET
SHRUB OAK, NY 10588
(41.331308182, -73.821623779)"
WESTCHESTER,NEPPERHAN GROCERY & DELI INC.,217 ASHBURTON  AVENUE,YONKERS,NY,10701,YONKERS,WESTCHESTER,DELICATESSEN,07/10/2023,"217 ASHBURTON  AVENUE
YONKERS, NY 10701
(40.939342687, -73.886859964)"
CAYUGA,TOPS MARKETS #504 FUEL KIOSK,352 WEST GENESEE STREET,AUBURN,NY,13021,AUBURN,CAYUGA,GAS STATION,07/10/2023,"352 WEST GENESEE STREET
AUBURN, NY 13021
(42.918785784, -76.590434535)"
45,MORNING LINE,267 UNION AVENUE,SARATOGA SPRINGS,NY,12866,SARATOGA SPGS.,SARATOGA,RESTAURANT/ATUPA,07/10/2023,"267 UNION AVENUE
SARATOGA SPRINGS, NY 12866
(43.074055679, -73.764355264)"
NYC,"SEASONED,LLC",480 7 AVENUE,NEW YORK,NY,10018,MANHATTAN,NEW YORK CITY,GROCERY SUPERMARKET,07/10/2023,"480 7 AVENUE
NEW YORK, NY 10018
(40.752272648, -73.989930383)"
WESTCHESTER,JOHN A. HANNA & SONS INC.,497 NEW ROCHELLE ROAD,BRONXVILLE,NY,10708,EASTCHESTER,WESTCHESTER,GAS STATION,07/10/2023,"497 NEW ROCHELLE ROAD
BRONXVILLE, NY 10708
(40.929235956, -73.809224094)"
WESTCHESTER,ALL FRESH FOOD CORP.,55 PALISADE AVENUE,YONKERS,NY,10701,YONKERS,WESTCHESTER,GROCERY SUPERMARKET,07/10/2023,"55 PALISADE AVENUE
YONKERS, NY 10701
(40.935031288, -73.895033241)"
NYC,"181 GERMAN DELI, INC.",815 WEST 181TH AVENUE,NEW YORK,NY,10033,MANHATTAN,NEW YORK CITY,GROCERY SUPERMARKET,07/10/2023,"815 WEST 181TH AVENUE
NEW YORK, NY 10033
(40.851206682, -73.938833379)"
NYC,60 ST SMOKE SHOP,480 60TH STREET,BROOKLYN,NY,11220,BROOKLYN,NEW YORK CITY,GROCERY SUPERMARKET,07/10/2023,"480 60TH STREET
BROOKLYN, NY 11220
(40.639525322, -74.016474194)"
NYC,DELI GRILL VAPE AND CONVENIENCES INC,1510 CORTELYOU ROAD,BROOKLYN,NY,11226,BROOKLYN,NEW YORK CITY,GROCERY SUPERMARKET,07/10/2023,"1510 CORTELYOU ROAD
BROOKLYN, NY 11226
(40.64119881, -73.964131639)"
NYC,37 SMOKE SHOP INC,357 WEST 37TH STREET,MANHATTAN,NY,10018,NEW YORK CITY,NEW YORK CITY,GROCERY SUPERMARKET,07/10/2023,"357 WEST 37TH STREET
MANHATTAN, NY 10018
(40.755252331, -73.99456063)"
SUFFOLK,PRIME MARINA,6 TEEPEE ST STREET,HAMPTON BAYS,NY,11946,SOUTHAMPTON,SUFFOLK,BAR/LOUNGE,07/10/2023,"6 TEEPEE ST STREET
HAMPTON BAYS, NY 11946
(40.881935284, -72.498077095)"
NYC,"NINTH AVENUE GROCERY, INC.",486 9TH AVENUE,NEW YORK,NY,10018,MANHATTAN,NEW YORK CITY,GROCERY SUPERMARKET,07/10/2023,"486 9TH AVENUE
NEW YORK, NY 10018
(40.755385771, -73.994624416)"
NYC,YESENIA A. RODRIGUEZ & MARCO A. TAVA,120 GRATTAN STREET,BROOKLYN,NY,11237,BROOKLYN,NEW YORK CITY,GROCERY SUPERMARKET,07/10/2023,"120 GRATTAN STREET
BROOKLYN, NY 11237
(40.706135216, -73.928182076)"
ORANGE,KWIK STOP FOODS,110  NORTH CHURCH  STREET,GOSHEN,NY,10924,GOSHEN,ORANGE,CONVENIENCE STORE,07/10/2023,"110  NORTH CHURCH  STREET
GOSHEN, NY 10924
(41.403475195, -74.325646057)"
ERIE,PARKSIDE MINI MART,1150 SHERIDAN DRIVE,TONAWANDA,NY,14150,TONAWANDA,ERIE,DELICATESSEN,07/10/2023,"1150 SHERIDAN DRIVE
TONAWANDA, NY 14150
(42.98104895, -78.892392814)"
NYC,GNP SUNIL CORP,585 WEST 235TH STREET,BRONX,NY,10463,BRONX,NEW YORK CITY,GROCERY SUPERMARKET,07/10/2023,"585 WEST 235TH STREET
BRONX, NY 10463
(40.885983743000054, -73.91116220199996)"
HORNELL DO,DOLLAR GENERAL STORE #7420 RTE 415,7078 NEW YORK 415 NORTH,BATH,NY,14810,BATH,STEUBEN,DISCOUNT STORE,07/10/2023,"7078 NEW YORK 415 NORTH
BATH, NY 14810
(42.344210638, -77.338444794)"
ROCKLAND,TITANIC DELI,15 SOUTH ROUTE 303,CONGERS,NY,10920,CLARKSTOWN,ROCKLAND,DELICATESSEN,07/10/2023,"15 SOUTH ROUTE 303
CONGERS, NY 10920
(41.14598614700003, -73.93390523899996)"
